Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,818,Egypt,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2014,2014,g/An,1442,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5510,Production,"Meat of chickens, fresh or chilled",2014,2014,t,1035000,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2014,2014,1000 An,717665,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2015,2015,g/An,1448,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5510,Production,"Meat of chickens, fresh or chilled",2015,2015,t,1027603,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2015,2015,1000 An,709778,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2016,2016,g/An,1122,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5510,Production,"Meat of chickens, fresh or chilled",2016,2016,t,1007092,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2016,2016,1000 An,897197,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2017,2017,g/An,1477,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5510,Production,"Meat of chickens, fresh or chilled",2017,2017,t,1302922,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2017,2017,1000 An,882320,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2018,2018,g/An,1478,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5510,Production,"Meat of chickens, fresh or chilled",2018,2018,t,1324327,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2018,2018,1000 An,895794,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2019,2019,g/An,1240,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5510,Production,"Meat of chickens, fresh or chilled",2019,2019,t,1542000,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5321,Producing Animals/Slaughtered,"Meat of chickens, fresh or chilled",2019,2019,1000 An,1243942,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5424,Yield/Carcass Weight,"Meat of chickens, fresh or chilled",2020,2020,g/An,1406,A,Official figure,
QCL,Crops and livestock products,818,Egypt,5510,Production,"Meat of chickens, fresh or chilled",2020,2020,t,2034000,A,Official figure,
