Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2013","2013","t","","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2019","2019","t","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2020","2020","kg/ha","11729","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2020","2020","t","5583830","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2021","2021","kg/ha","14068.8","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2021","2021","t","7388610","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2022","2022","kg/ha","14829.7","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2022","2022","t","8015978.46","I","Imputed value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01312","Bananas","2023","2023","kg/ha","12898.9","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","01312","Bananas","2023","2023","t","7308103.18","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1961","1961","t","25000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1962","1962","t","24000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1963","1963","t","55000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1964","1964","t","62000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1965","1965","t","68000","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1966","1966","t","63200","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1967","1967","t","60600","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1968","1968","t","70900","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1969","1969","t","87800","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1970","1970","t","105200","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1971","1971","t","131400","A","Official figure",""
"QCL","Crops and livestock products","566","Nigeria","5510","Production","24310.01","Beer of barley, malted","1972","1972","t","164900","A","Official figure",""
